Date;Open;High;Low;Close;Volume;Adj;Close
2009-10-09;27.8;28.9;27.65;28.2;86900;24.04;
2009-10-08;27.2;28.15;26.5;27.75;79600;23.66;
2009-10-07;27.4;27.4;26.4;27;36900;23.02;
2009-10-06;27.6;27.6;26.6;26.85;46300;22.89;
2009-10-05;28;28.45;27.1;27.4;39200;23.36;
2009-10-01;28.6;28.75;27.8;27.9;39500;23.79;
2009-09-30;28.5;29;28;28.45;34300;24.26;
2009-09-29;29.4;29.75;27.8;28.05;75800;23.91;
2009-09-25;30;30.45;29.1;29.25;96400;24.94;
2009-09-24;28.55;31;28.55;29.75;228200;25.36;
2009-09-23;28.75;30.4;28.6;29.3;218500;24.98;
2009-09-22;28.35;29.25;27.8;28.7;82300;24.47;
2009-09-18;28.8;29.2;28;28.2;53700;24.04;
2009-09-17;29;29.6;28;28.9;85300;24.64;
2009-09-16;29.35;29.85;28.7;28.8;67400;24.55;
2009-09-15;30.4;30.5;29.45;29.65;74700;25.28;
2009-09-14;30;30.7;29.4;30.05;85400;25.62;
2009-09-11;29.75;30.25;29;29.95;213600;25.53;
2009-09-10;27.6;30.55;27.6;29.2;324600;24.9;
2009-09-09;27.5;29.85;27.1;29;152300;24.72;
2009-09-08;28.45;28.45;27.65;27.8;34100;23.7;
2009-09-07;28.25;28.75;27.8;28;31800;23.87;
2009-09-04;28.95;28.95;27.1;28.05;78500;23.91;
2009-09-03;28.4;29;27.9;28.05;62100;23.91;
2009-09-02;28.9;29.45;28;28.3;75800;24.13;
2009-09-01;30;31.4;28;28.5;158600;24.3;
2009-08-31;30.3;31;29.15;29.6;163600;25.24;
2009-08-28;31.5;32;30.05;30.4;143000;25.92;
2009-08-27;31.55;32.8;31.1;31.4;258000;26.77;
2009-08-26;31.65;32.55;30.4;31.35;469400;26.73;
2009-08-25;29.15;31.15;28.9;30.55;217000;26.05;
2009-08-24;32.5;32.5;28.65;29.5;437300;25.15;
2009-08-21;25.5;29.8;24.6;29.25;541400;24.94;
2009-08-20;24.5;25.5;24.5;25;9400;21.31;
2009-08-19;26.55;26.9;24.2;24.7;61400;21.06;
2009-08-18;27.5;27.5;25.6;26.3;57100;22.42;
2009-08-17;26.9;27.7;26.05;26.3;67200;22.42;
2009-08-14;26.95;28.1;26.95;27.7;142700;23.62;
2009-08-13;27.25;28.5;27;27.15;284400;23.15;
2009-08-12;24.4;27.4;24.4;26.6;347400;22.68;
2009-08-11;24.1;26.2;24.1;24.9;154700;21.23;
2009-08-10;24.05;25.8;24.05;24.35;60600;20.76;
2009-08-07;23.9;24.5;23.35;24.05;53900;20.5;
2009-08-06;24.7;25.2;23.5;23.9;132000;20.38;
2009-08-05;22.5;24.5;21.55;23.9;134500;20.38;
2009-08-04;22.8;23;21.7;21.7;56000;18.5;
2009-08-03;22;22.45;21.25;22.25;44200;18.97;
2009-07-31;20.8;22.6;20.8;21.55;20700;18.37;
2009-07-30;23.5;24.7;21.05;21.35;162900;18.2;
2009-07-29;19.8;23.15;19.45;23;93000;19.61;
2009-07-28;19.05;19.8;19;19.6;15900;16.71;
2009-07-27;18.05;19.95;18.05;19.25;43000;16.41;
2009-07-24;17.55;18.85;17.55;18.15;40700;15.47;
2009-07-23;18;18;17.25;17.75;17800;15.13;
2009-07-22;17.7;18.75;17.4;17.45;27500;14.88;
2009-07-21;18.7;18.9;17.75;17.9;17700;15.26;
2009-07-20;18.25;18.7;18;18.4;31100;15.69;
2009-07-17;17.5;18.6;17.25;17.85;47000;15.22;
2009-07-16;17.5;18.25;17.15;17.5;34900;14.92;
2009-07-15;17.8;17.8;17.2;17.5;37600;14.92;
2009-07-14;16.95;17.15;16.1;17;22700;14.49;
2009-07-13;16.9;17;15.6;16.1;14700;13.73;
2009-07-10;17.85;18.1;15.5;16.5;41400;14.07;
2009-07-09;17.55;18.2;17;17.45;38500;14.88;
2009-07-08;18;18.15;17.75;17.9;19600;15.26;
2009-07-07;18.55;18.55;17.9;18.5;15100;15.77;
2009-07-06;18.8;19.3;18.2;18.4;13900;15.69;
2009-07-03;18.55;18.8;18;18.75;17500;15.99;
2009-07-02;19.55;19.55;17.1;18.3;65300;15.6;
2009-07-01;19.2;19.9;18.7;18.9;21800;16.11;
2009-06-30;20.05;20.75;19.2;19.3;19500;16.45;
2009-06-29;21;21;20.3;20.3;22800;17.31;
2009-06-26;21.1;21.1;20.2;20.75;8700;17.69;
2009-06-25;21.9;21.9;20.5;20.8;16900;17.73;
2009-06-24;21.4;21.7;20.3;20.7;58400;17.65;
2009-06-23;21.85;21.85;20;20.8;46000;17.73;
2009-06-22;22.7;22.7;21.5;21.6;24300;18.42;
2009-06-19;22.9;23.45;21.5;22;79800;18.76;
2009-06-18;22.95;23.85;22;22.35;100100;19.06;
2009-06-17;22.5;24.45;22.4;22.85;158700;19.48;
2009-06-16;22.8;23.35;22.7;22.85;41500;19.48;
2009-06-15;23.2;24.45;23;23.05;63500;19.65;
2009-06-12;23.35;25;22.2;23.65;258900;20.16;
2009-06-11;23.35;23.75;22.6;22.6;11800;19.27;
2009-06-10;25.3;25.3;22.75;23.35;45900;19.91;
2009-06-09;24.5;24.5;23.25;23.45;23100;19.99;
2009-06-08;25.8;25.8;24;24.05;42900;20.5;
2009-06-05;27.75;27.8;24.2;25.45;97100;21.7;
2009-06-04;23.5;25.85;22.6;25.85;142500;22.04;
2009-06-03;23.7;24;23.05;23.5;48600;20.04;
2009-06-02;24;24;22.6;23;40400;19.61;
2009-06-01;22.25;23.45;21.75;23;53800;19.61;
2009-05-29;22.1;22.6;21.5;22.05;40900;18.8;
2009-05-28;22.25;23;22.25;22.35;27400;19.06;
2009-05-27;23.35;23.6;22.2;22.5;26300;19.18;
2009-05-26;24.35;24.35;22.4;22.95;43100;19.57;
2009-05-25;23.6;23.6;22.6;23.35;61000;19.91;
2009-05-22;23.45;23.5;22;22.6;40300;19.27;
2009-05-21;23.95;23.95;22.95;23.1;36200;19.69;
2009-05-20;22.9;23.8;22.2;22.5;77600;19.18;
