Date;Open;High;Low;Close;Volume;Adj;Close
2007-07-10;44.71;45.29;44.65;44.82;2700;26.37;
2007-07-09;45.76;46.18;44.76;45.68;6800;26.87;
2007-07-06;44.12;46.47;44;44.79;35700;26.35;
2007-07-05;43.56;43.56;43.06;43.06;3700;25.33;
2007-07-04;41.94;44.06;41.94;44.06;3700;25.92;
2007-07-03;43.76;44.35;43.06;43.06;1100;25.33;
2007-07-02;43.85;44.12;43.82;43.97;3700;25.87;
2007-06-29;44.29;45.76;44.12;44.35;15600;26.09;
2007-06-28;42.76;44.47;42.76;44.12;13900;25.95;
2007-06-27;43.09;43.79;42.53;42.56;4200;25.03;
2007-06-26;42.94;44.71;42.47;43.59;17800;25.64;
2007-06-25;43.09;43.85;42.41;43.53;5700;25.61;
2007-06-22;41.5;43.94;41.5;42.18;12200;24.81;
2007-06-21;42.12;43.03;41.21;41.74;9000;24.55;
2007-06-20;42.35;42.76;41.56;41.79;2700;24.58;
2007-06-19;41.76;43.5;41.62;42.29;3700;24.88;
2007-06-18;41.68;42.18;41.38;41.62;1500;24.48;
2007-06-15;41.5;42.5;41.5;41.53;1500;24.43;
2007-06-14;41.5;42.91;41.47;41.53;4200;24.43;
2007-06-13;41.56;42.35;41.53;41.53;3500;24.43;
2007-06-12;41.82;42.71;41.82;42.12;5200;24.78;
2007-06-11;42.09;43.21;42.06;42.06;4500;24.74;
2007-06-08;42.06;42.94;42.06;42.26;4700;24.86;
2007-06-07;42.5;42.76;42.5;42.76;600;25.16;
